plant.name,plant.cultivar,model.name,model.weight,model.dimensions.length,model.dimensions.width,model.dimensions.height,model.tank_volume,model.rotors.power,model.rotors.number,model.nozzles.type,model.nozzles.number,model.particle_diameter.min,model.particle_diameter.max,model.swath_width.min,model.swath_width.max,model.water_pump.type,model.water_pump.flow_rate,model.water_pump.number,experiment.name,experiment.weather.temperature.min,experiment.weather.temperature.max,experiment.weather.humidity.min,experiment.weather.humidity.max,experiment.weather.velocity.min,experiment.weather.velocity.max,experiment.params.height,experiment.params.flight_speed,experiment.params.spray_volume,experiment.params.atomization_diameter,experiment.results.coverage.value,experiment.results.coverage.max,experiment.results.coverage.CV,experiment.results.droplet_size.value,experiment.results.droplet_size.max,experiment.results.droplet_size.CV
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,22.235,30.179,47.447,71.554,0.2,1.694,2.045,2.986,30.208,,4.354,4.504,63.897,247.388,254.041,12.109
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V1,23.51,30.342,48.832,72.692,0.2,1.49,2.159,3.122,30.667,,4.333,4.544,64.694,249.066,249.869,12.076
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,23.0,31.0,48.0,72.0,0.2,1.6,3.5,3.0,30.0,,3.5,4.2,48.4,237.2,248.1,9.6
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,22.714,30.413,46.778,73.368,0.194,1.684,3.69,3.092,31.858,,3.444,4.165,49.044,238.787,251.565,9.445
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,22.241,30.308,48.105,73.309,0.192,1.639,3.581,2.889,28.187,,3.48,4.18,47.38,230.568,245.768,9.504
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,23.303,30.069,47.779,70.643,0.191,1.489,3.547,2.91,29.717,,3.571,4.173,47.966,234.928,243.921,9.537
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,22.878,31.825,46.368,72.767,0.186,1.501,3.462,3.17,29.931,,3.555,4.085,48.593,233.096,252.195,9.801
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,22.543,31.66,46.828,70.834,0.21,1.702,3.65,3.243,29.193,,3.585,4.188,48.955,234.165,250.084,9.582
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,23.38,31.491,47.195,71.538,0.193,1.514,3.531,2.954,30.3,,3.511,4.257,48.083,240.194,247.394,9.453
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,21.902,31.309,49.139,73.787,0.195,1.533,3.635,2.953,27.625,,3.497,4.148,48.53,240.439,244.967,9.698
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,22.808,31.092,47.52,75.473,0.185,1.615,3.521,2.783,28.779,,3.546,4.139,47.653,241.864,251.919,9.483
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V1,22.97,31.434,49.556,69.513,0.197,1.709,3.505,3.164,31.708,,3.54,4.284,47.582,233.728,245.593,9.711
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.0,31.0,48.0,72.0,0.2,1.6,5.0,3.0,30.0,,4.1,4.4,50.5,240.2,248.1,8.9
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,22.473,29.792,47.524,73.311,0.186,1.646,5.049,2.789,30.761,,4.091,4.415,51.166,237.828,248.994,9.003
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,22.842,31.335,48.067,70.162,0.214,1.586,4.68,2.853,31.677,,4.067,4.476,49.456,238.797,246.497,8.738
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,22.265,32.308,49.162,74.151,0.192,1.526,4.772,2.817,29.669,,4.128,4.451,49.963,236.655,243.267,8.802
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.335,31.607,47.378,70.135,0.21,1.558,4.837,2.934,29.81,,4.175,4.437,51.117,242.532,245.117,8.997
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.521,31.64,46.69,70.997,0.207,1.552,4.718,2.833,29.109,,4.107,4.441,50.341,236.648,246.697,8.807
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.596,31.647,49.839,71.132,0.209,1.677,4.964,2.873,30.293,,4.084,4.402,49.658,241.953,247.935,9.025
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,23.194,30.931,48.326,73.861,0.215,1.718,5.218,2.976,30.573,,4.134,4.48,50.09,240.896,250.578,8.89
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,22.399,30.856,48.689,73.93,0.203,1.574,5.118,3.071,30.297,,4.175,4.409,50.683,243.857,248.404,9.098
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V1,22.961,32.304,46.37,69.129,0.206,1.51,5.071,2.805,27.354,,4.114,4.41,49.603,242.072,249.91,8.933
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.0,31.0,48.0,72.0,0.2,1.6,2.0,3.0,60.0,,8.2,8.9,58.1,274.1,280.1,14.9
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.423,32.318,47.467,70.296,0.205,1.668,1.94,3.136,61.111,,8.238,8.957,58.126,276.925,286.672,14.709
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.117,31.702,48.638,73.57,0.187,1.668,1.826,3.038,61.801,,8.211,8.999,58.383,274.148,280.62,14.756
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.781,32.139,46.771,72.469,0.209,1.503,1.9,3.064,60.979,,8.042,8.732,58.596,272.572,277.441,15.05
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,22.459,30.057,47.986,72.876,0.191,1.598,2.095,3.004,59.562,,8.296,8.945,58.89,275.621,279.017,14.882
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.508,31.533,47.433,70.819,0.191,1.637,1.949,3.209,59.995,,8.192,8.835,58.069,278.117,281.946,15.002
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.783,30.91,46.762,73.033,0.214,1.697,1.96,2.901,62.753,,8.272,8.746,57.834,266.991,278.494,14.782
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.634,30.979,47.367,72.203,0.203,1.492,1.934,2.924,58.35,,8.187,9.113,57.173,269.316,284.168,14.736
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,23.85,30.828,48.845,72.884,0.198,1.542,2.133,3.056,62.074,,8.143,8.943,58.329,267.637,279.12,14.597
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V2,22.611,30.41,49.425,70.253,0.214,1.556,2.043,2.795,62.001,,8.121,8.89,58.601,271.56,283.999,15.032
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,23.0,31.0,48.0,72.0,0.2,1.6,3.5,3.0,60.0,,7.2,8.7,61.0,266.8,273.5,12.6
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,23.05,30.63,49.136,69.067,0.186,1.589,3.681,3.049,57.923,,7.323,8.589,59.983,263.943,271.547,12.798
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,24.014,31.599,47.982,72.82,0.196,1.694,3.351,2.878,61.463,,7.342,8.504,61.297,268.3,272.092,12.676
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,23.297,31.702,46.659,74.628,0.198,1.527,3.369,3.148,58.801,,7.206,8.872,59.973,265.362,276.818,12.602
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,22.308,31.094,48.142,70.984,0.207,1.513,3.276,2.959,62.404,,7.287,8.549,60.651,266.775,275.911,12.601
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,22.481,30.052,46.989,72.306,0.19,1.664,3.37,2.97,62.37,,7.204,8.791,62.625,266.682,275.59,12.67
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,23.227,31.656,49.091,72.753,0.208,1.57,3.641,2.926,56.866,,7.186,8.618,61.23,269.337,277.656,12.766
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,22.384,30.362,48.084,70.449,0.195,1.561,3.655,3.168,58.447,,7.159,8.6,61.878,261.044,268.457,12.567
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,23.266,30.938,47.465,73.977,0.207,1.599,3.206,2.904,62.445,,7.144,8.857,60.828,271.36,274.315,12.622
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V2,22.778,31.387,47.742,73.417,0.194,1.683,3.458,2.997,63.426,,7.263,8.607,60.178,263.645,276.623,12.8
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.0,31.0,48.0,72.0,0.2,1.6,5.0,3.0,60.0,,7.1,8.1,48.1,262.6,269.2,9.9
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.129,31.725,48.585,71.722,0.184,1.555,4.671,3.154,59.384,,6.936,8.105,49.223,263.021,268.233,9.975
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,22.989,30.813,47.217,72.004,0.191,1.555,5.176,3.163,64.025,,7.002,8.104,48.322,259.811,272.071,9.777
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,22.856,30.637,49.674,71.155,0.207,1.665,4.927,2.881,64.182,,7.206,8.107,48.979,260.551,269.916,9.883
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,22.843,31.887,46.906,69.851,0.215,1.662,4.995,3.038,59.097,,7.011,8.065,47.931,265.196,268.04,10.036
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,22.598,29.777,48.149,74.01,0.204,1.571,4.885,3.028,58.172,,7.166,8.079,48.254,268.163,268.163,10.04
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.302,29.92,48.744,72.438,0.197,1.512,4.98,2.792,59.721,,7.077,8.17,47.814,260.251,273.653,9.776
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.085,31.253,46.615,69.752,0.209,1.714,5.285,2.746,61.223,,7.091,8.191,48.457,262.626,268.88,10.046
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,23.087,30.255,48.358,74.704,0.198,1.743,5.27,2.851,57.469,,7.044,8.188,47.747,259.035,267.404,9.785
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V2,22.477,31.005,47.377,69.494,0.188,1.623,5.031,3.213,62.928,,7.131,8.193,49.345,264.484,273.198,9.65
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.0,31.0,48.0,72.0,0.2,1.6,2.0,3.0,90.0,,12.9,15.2,39.1,277.1,293.4,14.9
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,22.748,30.658,46.095,74.211,0.192,1.458,2.054,3.156,98.264,,12.805,15.031,39.208,279.061,297.398,14.866
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,22.619,31.581,47.385,69.627,0.201,1.636,2.114,2.851,92.899,,12.969,15.127,40.0,277.8,300.028,14.527
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,22.52,31.212,48.655,73.462,0.202,1.508,1.891,2.796,89.317,,12.835,15.547,38.852,277.248,289.437,14.798
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.887,29.98,48.815,71.503,0.2,1.69,2.059,2.834,86.877,,12.743,15.353,38.616,279.85,292.122,14.918
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.721,31.176,48.121,71.737,0.202,1.641,1.901,2.803,84.174,,12.935,15.037,39.079,273.023,290.249,14.625
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,22.582,29.673,49.3,72.775,0.212,1.698,2.027,2.983,94.492,,12.888,15.112,38.304,277.066,295.347,14.799
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.28,30.97,46.493,71.101,0.21,1.546,2.0,3.08,84.328,,12.661,14.768,39.444,282.674,294.202,14.992
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,23.401,30.001,45.974,70.719,0.191,1.571,2.059,3.094,89.555,,13.112,15.596,39.737,281.91,295.682,14.634
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H1-S1-V3,24.045,31.009,48.601,71.25,0.202,1.679,1.953,3.017,86.572,,12.738,15.054,38.008,274.105,297.785,15.238
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,23.0,31.0,48.0,72.0,0.2,1.6,3.5,3.0,90.0,,12.2,14.3,34.5,272.9,292.8,10.6
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,23.488,31.009,49.294,73.896,0.208,1.611,3.321,3.09,90.386,,12.21,14.303,34.277,273.11,289.921,10.511
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,22.744,29.958,49.26,71.42,0.201,1.528,3.227,2.891,97.235,,12.221,14.53,34.536,275.168,296.453,10.442
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,23.974,31.805,47.963,72.242,0.187,1.647,3.353,3.184,94.884,,12.044,14.155,34.033,274.676,294.073,10.612
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,23.066,32.251,47.996,69.797,0.201,1.603,3.81,2.808,91.64,,12.214,14.279,34.853,271.372,293.887,10.479
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,22.995,31.098,46.954,71.346,0.208,1.651,3.331,3.002,87.629,,12.221,14.489,34.824,268.383,289.372,10.58
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,23.166,30.061,50.095,70.978,0.207,1.544,3.302,3.003,91.918,,12.116,14.207,34.663,277.563,294.437,10.748
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,22.744,30.939,49.37,71.026,0.202,1.604,3.761,2.925,84.527,,12.07,14.141,34.51,272.684,294.954,10.46
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,23.61,30.176,48.722,71.196,0.21,1.495,3.235,3.001,87.868,,11.918,14.199,33.991,269.989,290.475,10.75
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H2-S1-V3,23.734,31.128,46.839,74.09,0.205,1.74,3.658,3.251,86.257,,11.941,13.974,34.638,275.579,293.326,10.564
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V3,23.0,31.0,48.0,72.0,0.2,1.6,5.0,3.0,90.0,,11.0,12.2,33.6,266.8,274.7,13.6
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V3,22.467,31.529,46.645,71.628,0.204,1.496,5.214,2.974,95.697,,10.81,11.904,33.408,264.514,272.993,13.841
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V3,23.285,30.743,46.618,73.435,0.195,1.643,4.776,3.207,96.313,,11.153,12.423,33.496,271.18,274.32,13.518
tea,Camellia sinensis,AGRAS T30,36.5,2.9,2.7,0.8,30,3600,6,SX11001VS,16,130,250,4,9,plunger pump,4,1,H3-S1-V3,22.847,30.056,49.187,71.85,0.203,1.574,5.016,2.989,98.462,,10.697,12.089,33.537,271.347,278.875,13.445
